unique_id,ds,y
1,2026-01-09 15:00:00,2541
1,2026-01-09 15:00:00,2947
1,2026-01-09 15:00:00,1357
1,2026-01-09 15:00:00,1336
1,2026-01-09 15:00:00,13950
1,2026-01-09 15:00:00,14650
1,2026-01-09 15:00:00,2303
1,2026-01-09 15:00:00,2407
1,2026-01-09 15:00:00,77342
1,2026-01-09 15:00:00,298
1,2026-01-09 15:00:00,783
1,2026-01-09 15:00:00,1881
1,2026-01-09 15:00:00,1890
1,2026-01-09 15:00:00,5171
1,2026-01-09 15:00:00,14843
1,2026-01-09 15:00:00,15110
1,2026-01-09 15:00:00,4033
1,2026-01-09 15:00:00,803
1,2026-01-09 15:00:00,198
1,2026-01-09 15:00:00,172
1,2026-01-09 15:00:00,57
1,2026-01-09 15:00:00,344
1,2026-01-09 15:00:00,49389
1,2026-01-09 15:00:00,54
1,2026-01-09 15:00:00,2603
1,2026-01-09 15:00:00,77042
1,2026-01-09 15:00:00,14650
1,2026-01-09 15:00:00,51154
1,2026-01-09 15:00:00,973
1,2026-01-09 15:00:00,968
1,2026-01-09 15:00:00,12039
1,2026-01-09 15:00:00,12005
1,2026-01-09 15:00:00,395
1,2026-01-09 15:00:00,683
1,2026-01-09 15:00:00,545
1,2026-01-09 15:00:00,6515
1,2026-01-09 15:00:00,6868
1,2026-01-09 15:00:00,25385
1,2026-01-09 15:00:00,26208
1,2026-01-09 15:00:00,387
1,2026-01-09 15:00:00,39011
1,2026-01-09 15:00:00,344
1,2026-01-09 15:00:00,1737
1,2026-01-09 15:00:00,5115
1,2026-01-09 15:00:00,4524
1,2026-01-09 15:00:00,2219
1,2026-01-09 15:00:00,8728
1,2026-01-09 15:00:00,2151
1,2026-01-09 15:00:00,1752
1,2026-01-09 15:00:00,31996
1,2026-01-09 15:00:00,30697
1,2026-01-09 15:00:00,22202
1,2026-01-09 15:00:00,22021
1,2026-01-09 15:00:00,31238
1,2026-01-09 15:00:00,8591
1,2026-01-09 16:00:00,16964
1,2026-01-09 16:00:00,675
1,2026-01-09 16:00:00,690
1,2026-01-09 16:00:00,17063
1,2026-01-09 16:00:00,483626
1,2026-01-09 16:00:00,18
1,2026-01-09 16:00:00,4189
1,2026-01-09 16:00:00,3689
1,2026-01-09 16:00:00,979
1,2026-01-09 16:00:00,114
1,2026-01-09 16:00:00,121
1,2026-01-09 16:00:00,322
1,2026-01-09 16:00:00,475130
1,2026-01-09 16:00:00,342
1,2026-01-09 16:00:00,4056
1,2026-01-09 16:00:00,50543
1,2026-01-09 16:00:00,1765
1,2026-01-09 16:00:00,1766
1,2026-01-09 16:00:00,16964
1,2026-01-09 16:00:00,17063
1,2026-01-09 16:00:00,2341
1,2026-01-09 16:00:00,2267
